"id","affil","cnt","affil2"
190,"Merck & Co. , Inc.",1,"Merck"
190,"New Jersey Institute of Technology",1,"New Jersey Institute of Technology"
190,"Otto H. York Department of Chemical",1,"Remove"
190,"Pharmaceutical Engineering",1,"Remove"
191,"Pfizer Worldwide R&D",2,"Pfizer Worldwide Research"
191,"RCPE",1,"RCPE GmbH"
191,"Research Center Pharmaceutical Engineering RCPE",1,"RCPE GmbH"
192,"Department of Chemical Engineering",1,"Remove"
192,"Laboratory of Computational Biology",1,"Remove"
192,"National Institutes of Health",1,"National Institutes of Health"
192,"University of Virginia",1,"University of Virginia"
192,"VA",1,"Remove"
193,"AbbVie Inc.",1,"AbbVie Inc."
193,"Chemical Engineering",1,"Remove"
193,"Process Research & Development",2,"Remove"
193,"Purdue",1,"Purdue University"
193,"Purdue University",2,"Purdue University"
193,"School of Chemical Engineering",1,"Remove"
194,"Teva",1,"Teva"
